Group	Mean	Count
CG_Intergenic_Undiverged	0.837874925659169	344
CG_Intron_Focal	0.644582614864778	453
CG_Intron_Undiverged	0.715336085661889	453
CG_Promoter_Focal	0.388200852976813	1298
CG_Promoter_Undiverged	0.502212871136057	1298
HZ_CDS_Focal	0.897631766261055	131
HZ_CDS_Undiverged	0.780764396914864	131
HZ_Intergenic_Focal	0.998555738979737	559
HZ_Intergenic_Undiverged	0.772460198385687	559
HZ_Intron_Focal	0.770189230587192	751
HZ_Intron_Undiverged	0.806743844850243	751
HZ_Promoter_Focal	0.504855143153878	1214
HZ_Promoter_Undiverged	0.580540881367513	1214
WGBS_CDS_Focal	0.921808482117403	963
WGBS_CDS_Undiverged	0.842917602275717	963
WGBS_Intergenic_Focal	0.958978495718971	2619
WGBS_Intergenic_Undiverged	0.920525835809809	2619
WGBS_Intron_Focal	0.962769441236087	3625
WGBS_Intron_Undiverged	0.914389549340719	3625
WGBS_Promoter_Focal	0.465544004800127	1185
WGBS_Promoter_Undiverged	0.556166734118859	1185
CG_CDS_Focal	0.774620994577678	87
CG_CDS_Undiverged	0.92803093173414	87
CG_Intergenic_Focal	0.952738855483969	344
CG_Intergenic_Undiverged	0.791576368869354	344
CG_Intron_Focal	0.751109000779372	453
CG_Intron_Undiverged	0.827946418545073	453
CG_Promoter_Focal	0.423605243029812	1298
CG_Promoter_Undiverged	0.471374775784682	1298
HZ_CDS_Focal	0.87876960012561	131
HZ_CDS_Undiverged	0.784543933275217	131
HZ_Intergenic_Focal	1.14669239500879	559
HZ_Intergenic_Undiverged	0.819629242454683	559
HZ_Intron_Focal	0.748004733433611	751
HZ_Intron_Undiverged	0.764536604611304	751
HZ_Promoter_Focal	0.52098760229649	1214
HZ_Promoter_Undiverged	0.602055831257279	1214
WGBS_CDS_Focal	0.942924889492128	963
WGBS_CDS_Undiverged	0.866984483043298	963
WGBS_Intergenic_Focal	1.02104656272272	2619
WGBS_Intergenic_Undiverged	0.916511979939675	2619
WGBS_Intron_Focal	0.947392038777621	3625
WGBS_Intron_Undiverged	0.910003767355437	3625
WGBS_Promoter_Focal	0.443456077969682	1185
WGBS_Promoter_Undiverged	0.572170390006817	1185
CG_CDS_Focal	0.700798376877867	87
